short,long
8MO,8Mobility
ACM,Acme
ADN,Adonit
AII,Aiino
AKI,Akitio
ALL,Allocacoc
AP2,Apple
APP,Apple
BAN,Band&Strap
BEA,Beats
BEL,Belkin
BEZ,Be.ez
BLL,BlueLounge
BLM,Blue Microphones
BNQ,BenQ
BOD,BodyGuardz
BOO,Booq
BOS,Bose
BTC,Boostcase
CAD,Bose
CAI,Casetify
CEL,Celly
COG,Cogito
CRU,Crucial
CYB,Cyberpower
CYG,Cygnett
DEV,Devolo
DJI,DJI
DLK,D-Link
DLL,Dell
DOD,Dodocool
DRO,Drobo
DVI,Devia
EIZ,Eizo
ELA,Elago
ELE,Elevation Lab
ELG,Elgato
ENV,Unknown
EVU,Evutec
FCM,FCM
FIB,Fibaro
FIF,FiftyThree
FIT,Fitbit
GAM,Gamevice
GLY,Glyph Atom
GOP,GoPro
GRT,Griffin
GTE,G-Technology
HAR,Harman Kardon
HGD,Henge Docks
HGS,HGST Travelstar
HIC,Hitcase
HOC,Hoco Nike
HOW,Honeywell
HTE,Hyper Pearl
IAM,I AM
ICA,Incase
IFR,iFrogz
IFX,iFixit
IHE,iHealth
IKM,IK Multimedia
IOT,iOttie
JAB,Jabra
JAW,Jawbone
JBL,JBL
JMO,Just Mobile
JOB,Joby
JYB,Jaybird
KAI,Kaiser Baas
KAN,Kanex
KEN,Jaybird
KEU,Kenu Airframe
KIN,Kingston
KOO,Koogeek
KUA,Kukaclip
LAC,LaCie
LAN,LandingZone
LEE,Leef
LEX,Lexar
LGE,LG
LIB,Unknown
LIF,Lifeproof
LMP,LMP
LOG,Logitech
LUN,Lunatik
MAC,Macally
MAK,Maclocks
MAT,Matias
MBI,Mobility Lab
MDT,Mediterrans
MIC,Microsoft
MIN,Minibatt
MMW,My MW
MOL,Moleskine
MOP,Mophie
MOS,Moshi
MOX,Moxie
MTF,Mistify
MUJ,Mophie
MUV,Muvit
MYF,MyFox
NDA,Nonda
NDE,Ndevr
NEA,Netatmo
NES,Nest
NIE,Ninebot
NIM,Nimbus
NKI,Nokia
NOD,Nodon
NOK,Noke
NOM,Nomad
NTE,NewerTech
OBL,Oblumi
OLI,Olixar
OLL,Olloclip
OPU,Opulus
OSM,Osmo
OTR,Startech
OTT,Otterbox
OWC,OWC
PAC,Pack
PAR,Parrot
PEB,Pebble
PHI,Philips
PIE,Replacement
PLA,Plantronics
POL,Polaroid
PQI,Pqi
PRO,Promise
PRY,Prynt
PUR,Puro
QAR,Qardio
QDO,QDos
QNA,QNAP
RAI,Rain Design
REP,Repair
RET,Retrak Utopia
RUT,Runstastic
RYV,Ryval
SAM,Samsung
SAN,SanDisk
SAT,Satechi
SDE,SDesign
SEA,Seagate
SEV,Service
SHE,SwitchEasy
SNA,Sena
SNN,Sonnet
SNS,Sonos
SOF,Software
SPE,Spek SeeThru
SPH,Sphero
SSE,Sen.se
STA,Startech
STC,Stacked
STI,Stil Mind
STK,Stikgo
STM,STM
SXA,SecurityXtra
SYN,Synology
TAD,Tado
TAM,Tangram
TCH,Tech21
THU,Thule
TIG,Tigra
TIL,Tile
TOS,Toshiba
TPL,TP-Link
TRA,Trascend
TRI,Tribe
TRK,TrackR
TRN,Trunk Sleeve
TUC,Tucano
TWS,Twelve South
UAG,Urban Armor Gear
WAC,Wacom
WDT,Western Digital
WHO,Whoosh
WIK,Wikango
WIT,Withings
WOE,Wowewa
XDO,X-Doria
XOO,Xoopar
XRI,X-Rite
XTO,Xtorm
ZAG,ZaggKeys
ZEP,Zepp
