product_category_name_english,Product_quantity,updated_category
bed_bath_table,3029,"non-tech products"
sports_leisure,2867,"non-tech products"
furniture_decor,2657,"non-tech products"
health_beauty,2444,"non-tech products"
housewares,2335,"non-tech products"
auto,1900,"non-tech products"
computers_accessories,1639,computers_accessories
toys,1411,"non-tech products"
watches_gifts,1329,"non-tech products"
telephony,1134,telephony
baby,919,"non-tech products"
perfumery,868,"non-tech products"
fashion_bags_accessories,849,"non-tech products"
stationery,849,"non-tech products"
cool_stuff,789,"non-tech products"
garden_tools,753,"non-tech products"
pet_shop,719,"non-tech products"
others,610,"non-tech products"
electronics,517,electronics
construction_tools_construction,400,"non-tech products"
home_appliances,370,"non-tech products"
luggage_accessories,349,"non-tech products"
consoles_games,317,"non-tech products"
office_furniture,309,"non-tech products"
musical_instruments,289,"non-tech products"
small_appliances,231,"non-tech products"
home_construction,225,"non-tech products"
books_general_interest,216,"non-tech products"
fashion_shoes,173,"non-tech products"
furniture_living_room,156,"non-tech products"
air_conditioning,124,"non-tech products"
books_technical,123,"non-tech products"
fixed_telephony,116,"non-tech products"
home_confort,111,"non-tech products"
food_drink,104,"non-tech products"
market_place,104,"non-tech products"
fashion_male_clothing,95,"non-tech products"
kitchen_dining_laundry_garden_furniture,94,"non-tech products"
signaling_and_security,93,"non-tech products"
construction_tools_safety,91,"non-tech products"
home_appliances_2,90,"non-tech products"
costruction_tools_garden,88,"non-tech products"
food,82,"non-tech products"
drinks,81,"non-tech products"
construction_tools_lights,78,"non-tech products"
agro_industry_and_commerce,74,"non-tech products"
industry_commerce_and_business,68,"non-tech products"
christmas_supplies,65,"non-tech products"
audio,58,audio
art,55,"non-tech products"
fashion_underwear_beach,53,"non-tech products"
dvds_blu_ray,48,"non-tech products"
furniture_bedroom,45,"non-tech products"
costruction_tools_tools,39,"non-tech products"
books_imported,31,"non-tech products"
small_appliances_home_oven_and_coffee,31,"non-tech products"
computers,30,computers
cine_photo,28,"non-tech products"
fashio_female_clothing,27,"non-tech products"
music,27,"non-tech products"
party_supplies,26,"non-tech products"
fashion_sport,19,"non-tech products"
arts_and_craftmanship,19,"non-tech products"
flowers,14,"non-tech products"
diapers_and_hygiene,12,"non-tech products"
la_cuisine,10,"non-tech products"
furniture_mattress_and_upholstery,10,"non-tech products"
portable_kitchen_food_processors,10,"non-tech products"
tablets_printing_image,9,"non-tech products"
home_comfort_2,5,"non-tech products"
fashion_childrens_clothes,5,"non-tech products"
pc_gamer,3,"non-tech products"
security_and_services,2,"non-tech products"
cds_dvds_musicals,1,"non-tech products"
